timestamp,device_id,watts
2026-01-05T00:00:00Z,refrigerator,86.986
2026-01-05T00:00:00Z,television,4.799
2026-01-05T00:00:00Z,game_console,11.603
2026-01-05T00:00:00Z,printer,18.28
2026-01-05T00:05:00Z,refrigerator,87.991
2026-01-05T00:05:00Z,television,5.508
2026-01-05T00:05:00Z,game_console,11.4
2026-01-05T00:05:00Z,printer,18.006
2026-01-05T00:10:00Z,refrigerator,88.823
2026-01-05T00:10:00Z,television,5.232
2026-01-05T00:10:00Z,game_console,12.245
2026-01-05T00:10:00Z,printer,18.267
2026-01-05T00:15:00Z,refrigerator,87.69
2026-01-05T00:15:00Z,television,4.501
2026-01-05T00:15:00Z,game_console,12.055
2026-01-05T00:15:00Z,printer,17.738
2026-01-05T00:20:00Z,refrigerator,86.823
2026-01-05T00:20:00Z,television,5.523
2026-01-05T00:20:00Z,game_console,12.143
2026-01-05T00:20:00Z,printer,2.436
2026-01-05T00:25:00Z,refrigerator,4.188
2026-01-05T00:25:00Z,television,4.782
2026-01-05T00:25:00Z,game_console,11.382
2026-01-05T00:25:00Z,printer,1.935
2026-01-05T00:30:00Z,refrigerator,4.247
2026-01-05T00:30:00Z,television,4.657
2026-01-05T00:30:00Z,game_console,11.46
2026-01-05T00:30:00Z,printer,1.864
2026-01-05T00:35:00Z,refrigerator,2.018
2026-01-05T00:35:00Z,television,4.554
2026-01-05T00:35:00Z,game_console,11.653
2026-01-05T00:35:00Z,printer,1.964
2026-01-05T00:40:00Z,refrigerator,2.643
2026-01-05T00:40:00Z,television,5.8
2026-01-05T00:40:00Z,game_console,11.467
2026-01-05T00:40:00Z,printer,2.42
2026-01-05T00:45:00Z,refrigerator,3.672
2026-01-05T00:45:00Z,television,5.296
2026-01-05T00:45:00Z,game_console,11.876
2026-01-05T00:45:00Z,printer,2.389
2026-01-05T00:50:00Z,refrigerator,3.309
2026-01-05T00:50:00Z,television,4.821
2026-01-05T00:50:00Z,game_console,11.629
2026-01-05T00:50:00Z,printer,2.021
2026-01-05T00:55:00Z,refrigerator,2.862
2026-01-05T00:55:00Z,television,5.882
2026-01-05T00:55:00Z,game_console,11.727
2026-01-05T00:55:00Z,printer,1.899
2026-01-05T01:00:00Z,refrigerator,3.044
2026-01-05T01:00:00Z,television,5.638
2026-01-05T01:00:00Z,game_console,11.746
2026-01-05T01:00:00Z,printer,2.342
2026-01-05T01:05:00Z,refrigerator,2.118
2026-01-05T01:05:00Z,television,4.587
2026-01-05T01:05:00Z,game_console,11.962
2026-01-05T01:05:00Z,printer,1.884
2026-01-05T01:10:00Z,refrigerator,2.625
2026-01-05T01:10:00Z,television,5.038
2026-01-05T01:10:00Z,game_console,11.494
2026-01-05T01:10:00Z,printer,1.875
2026-01-05T01:15:00Z,refrigerator,1.916
2026-01-05T01:15:00Z,television,5.832
2026-01-05T01:15:00Z,game_console,11.989
2026-01-05T01:15:00Z,printer,2.516
2026-01-05T01:20:00Z,refrigerator,3.08
2026-01-05T01:20:00Z,television,5.836
2026-01-05T01:20:00Z,game_console,12.163
2026-01-05T01:20:00Z,printer,2.283
2026-01-05T01:25:00Z,refrigerator,3.16
2026-01-05T01:25:00Z,television,5.212
2026-01-05T01:25:00Z,game_console,11.525
2026-01-05T01:25:00Z,printer,2.113
2026-01-05T01:30:00Z,refrigerator,88.535
2026-01-05T01:30:00Z,television,4.773
2026-01-05T01:30:00Z,game_console,12.15
2026-01-05T01:30:00Z,printer,2.207
2026-01-05T01:35:00Z,refrigerator,88.25
2026-01-05T01:35:00Z,television,5.651
2026-01-05T01:35:00Z,game_console,11.946
2026-01-05T01:35:00Z,printer,1.946
2026-01-05T01:40:00Z,refrigerator,87.395
2026-01-05T01:40:00Z,television,4.501
2026-01-05T01:40:00Z,game_console,11.327
2026-01-05T01:40:00Z,printer,2.516
2026-01-05T01:45:00Z,refrigerator,88.223
2026-01-05T01:45:00Z,television,5.856
2026-01-05T01:45:00Z,game_console,12.081
2026-01-05T01:45:00Z,printer,2.071
2026-01-05T01:50:00Z,refrigerator,89.121
2026-01-05T01:50:00Z,television,5.792
2026-01-05T01:50:00Z,game_console,11.756
2026-01-05T01:50:00Z,printer,1.908
2026-01-05T01:55:00Z,refrigerator,2.664
2026-01-05T01:55:00Z,television,4.733
2026-01-05T01:55:00Z,game_console,11.666
2026-01-05T01:55:00Z,printer,1.908
2026-01-05T02:00:00Z,refrigerator,3.612
2026-01-05T02:00:00Z,television,5.871
2026-01-05T02:00:00Z,game_console,11.511
2026-01-05T02:00:00Z,printer,2.396
2026-01-05T02:05:00Z,refrigerator,3.303
2026-01-05T02:05:00Z,television,5.176
2026-01-05T02:05:00Z,game_console,12.207
2026-01-05T02:05:00Z,printer,2.114
2026-01-05T02:10:00Z,refrigerator,3.871
2026-01-05T02:10:00Z,television,4.549
2026-01-05T02:10:00Z,game_console,12.265
2026-01-05T02:10:00Z,printer,1.978
2026-01-05T02:15:00Z,refrigerator,1.909
2026-01-05T02:15:00Z,television,5.734
2026-01-05T02:15:00Z,game_console,12.021
2026-01-05T02:15:00Z,printer,2.322
2026-01-05T02:20:00Z,refrigerator,3.738
2026-01-05T02:20:00Z,television,5.028
2026-01-05T02:20:00Z,game_console,11.414
2026-01-05T02:20:00Z,printer,2.073
2026-01-05T02:25:00Z,refrigerator,4.189
2026-01-05T02:25:00Z,television,5.874
2026-01-05T02:25:00Z,game_console,11.53
2026-01-05T02:25:00Z,printer,2.16
2026-01-05T02:30:00Z,refrigerator,2.981
